,mean,std,25%,75%,2.5%,97.5%
shape,1.9005621517245814,0.20753332372916722,1.7577183044122309,2.0238104914702673,1.5548544253118566,2.355653889254567
scale,6.649345442062999,0.539380435982281,6.299038266205096,7.001830972318324,5.621865992919949,7.775737837675567
