,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
rt,0.14300676921187522,0.00026277179095423616,0.0334860822309618,0.08747949725860835,0.11938218625692906,0.13950326402617863,0.1629109839622126,0.21821807080856204,16239.445522117709,1.0000962717667339
k,0.2929632566786248,0.0005390470029974364,0.07554536669941897,0.1677966798273201,0.23942057015843332,0.28559723130929743,0.33837208029646626,0.46155893926003955,19640.94573107055,1.0002338328981886
