,mean,std,25%,75%,2.5%,97.5%
alpha,3.3652851500539653,0.6987912389609304,2.8580221187024257,3.7711045159088803,2.258421409965773,4.993126453228876
beta,1.823334280431503,0.39900540011234287,1.531583271583718,2.083970820993216,1.1398762663598092,2.673533493900735
