Distribution,Mean,Standard Deviation,Median,IQR,AIC
Gamma,5.880 (4.980-6.880),3.304 (2.437-4.150),5.274 (4.479-6.186),4.198 (3.152-5.190)-246.03
Lognormal,5.967 (5.053-6.994),3.940 (2.719-5.302),4.980 (4.203-5.865),4.152 (3.129-5.126)-247.60
Weibull,5.905 (4.992-6.917),3.328 (2.426-4.123),5.446 (4.624-6.409),4.561 (3.390-5.531)-248.68
