,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
rt,0.057640505654451,7.995241351810363e-05,0.007820521560202185,0.044164986262579656,0.052174937350252,0.057046927760246294,0.062391805620781844,0.07466688153558967,9567.716068648204,1.0003838216518686
k,0.01613613314384397,1.3309790610609436e-05,0.0022418516143905536,0.012195244267006912,0.014570747621716793,0.015972095106312482,0.017526533952643336,0.02096178171067084,28370.78032812399,0.9999192869230633
