,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
rt,0.42374766010092507,0.0002842978557859338,0.042266231971380776,0.3476710373786975,0.3943614943148309,0.4211534824921322,0.4505277652250904,0.5136830673932842,22102.42350291711,1.0003099580673833
k,0.10402003008997152,6.55352720601559e-05,0.010678937487206197,0.0841974944718977,0.0966441865684339,0.10355550407249672,0.11090138172608466,0.1264162162873737,26552.527976569934,1.0000130979451338
