,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
rt,0.8376530575412542,0.0014071843650922116,0.18167811973440842,0.5434687183995056,0.7095649820695723,0.8167537897089727,0.9412132687644101,1.2494328449130174,16668.758358501596,1.0003792836939425
k,0.33660367972362293,0.0004963737401587413,0.06635502606751893,0.22221110661351204,0.28950433582313584,0.33156849833051816,0.37686039518443415,0.4825404402645953,17870.22631709597,1.0001565047675307
